language,type,n_pure,n_tot,purity,impurity
aa,LOC,36,424,0.08490566037735849,0.9150943396226415
aa,ORG,76,964,0.07883817427385892,0.9211618257261411
aa,PER,258,25922,0.009952935730267726,0.9900470642697323
af,LOC,7894,89861,0.08784678559107956,0.9121532144089204
af,ORG,4791,56630,0.08460180116546,0.91539819883454
af,PER,13918,210648,0.06607231020470168,0.9339276897952983
ak,LOC,277,1389,0.1994240460763139,0.8005759539236861
ak,ORG,136,1430,0.0951048951048951,0.9048951048951049
ak,PER,309,26551,0.011637979737109713,0.9883620202628903
am,LOC,1955,1958,0.998467824310521,0.001532175689479054
am,ORG,1147,1173,0.9778346121057119,0.022165387894288124
am,PER,1731,1933,0.8954992240041386,0.10450077599586138
ha,LOC,893,3403,0.2624155157214223,0.7375844842785777
ha,ORG,429,1549,0.276952872821175,0.723047127178825
ha,PER,681,31588,0.021558819804989235,0.9784411801950108
ig,LOC,166,880,0.18863636363636363,0.8113636363636364
ig,ORG,253,1355,0.18671586715867158,0.8132841328413284
ig,PER,383,27131,0.014116693081714643,0.9858833069182854
kea,LOC,45,62,0.7258064516129032,0.27419354838709675
kea,ORG,40,120,0.3333333333333333,0.6666666666666667
kea,PER,9,355,0.02535211267605634,0.9746478873239437
kg,LOC,1315,78405,0.016771889547860467,0.9832281104521395
kg,ORG,1065,48969,0.02174845310298352,0.9782515468970164
kg,PER,2777,105630,0.026289879769005018,0.973710120230995
lg,LOC,236,777,0.30373230373230375,0.6962676962676962
lg,ORG,84,991,0.08476286579212916,0.9152371342078709
lg,PER,224,24208,0.009253139458030404,0.9907468605419696
ln,LOC,378,982,0.384928716904277,0.615071283095723
ln,ORG,351,1405,0.2498220640569395,0.7501779359430605
ln,PER,437,25300,0.017272727272727273,0.9827272727272727
mg,LOC,8833,100219,0.08813698001376985,0.9118630199862301
mg,ORG,7800,64549,0.12083843281847899,0.879161567181521
mg,PER,6003,131960,0.045491057896332225,0.9545089421036678
nso,LOC,1512,3195,0.4732394366197183,0.5267605633802817
nso,ORG,290,1263,0.22961203483768805,0.770387965162312
nso,PER,236,24796,0.009517664139377319,0.9904823358606227
ny,LOC,244,1924,0.12681912681912683,0.8731808731808732
ny,ORG,76,937,0.08110992529348986,0.9188900747065102
ny,PER,252,24818,0.01015392054154243,0.9898460794584576
om,LOC,318,728,0.4368131868131868,0.5631868131868132
om,ORG,254,1062,0.2391713747645951,0.7608286252354048
om,PER,291,24685,0.011788535547903585,0.9882114644520964
rn,LOC,118,741,0.1592442645074224,0.8407557354925776
rn,ORG,89,974,0.09137577002053388,0.9086242299794661
rn,PER,231,24825,0.009305135951661632,0.9906948640483384
rw,LOC,549,2293,0.23942433493240298,0.760575665067597
rw,ORG,321,1311,0.2448512585812357,0.7551487414187643
rw,PER,273,24992,0.01092349551856594,0.989076504481434
sn,LOC,92,1040,0.08846153846153847,0.9115384615384615
sn,ORG,87,1244,0.06993569131832797,0.930064308681672
sn,PER,272,25830,0.010530391018195896,0.9894696089818041
so,LOC,785,1620,0.4845679012345679,0.5154320987654322
so,ORG,599,1790,0.3346368715083799,0.6653631284916202
so,PER,617,25609,0.024093092272248037,0.975906907727752
ss,LOC,215,495,0.43434343434343436,0.5656565656565656
ss,ORG,231,1013,0.228035538005923,0.771964461994077
ss,PER,213,22912,0.009296438547486033,0.9907035614525139
sw,LOC,12122,94448,0.12834575639505336,0.8716542436049466
sw,ORG,3127,53039,0.05895661682912574,0.9410433831708742
sw,PER,6339,129341,0.04900998136708391,0.9509900186329161
ti,LOC,114,117,0.9743589743589743,0.02564102564102566
ti,ORG,102,125,0.816,0.18400000000000005
ti,PER,38,217,0.17511520737327188,0.8248847926267281
tn,LOC,165,835,0.19760479041916168,0.8023952095808383
tn,ORG,103,1015,0.10147783251231528,0.8985221674876848
tn,PER,253,24839,0.010185595233302468,0.9898144047666976
ts,LOC,93,635,0.14645669291338584,0.8535433070866142
ts,ORG,107,1092,0.09798534798534798,0.902014652014652
ts,PER,237,24814,0.00955105988554848,0.9904489401144515
ve,LOC,125,665,0.18796992481203006,0.8120300751879699
ve,ORG,79,961,0.08220603537981269,0.9177939646201874
ve,PER,240,24970,0.00961153384060873,0.9903884661593912
wo,LOC,1348,76985,0.01750990452685588,0.9824900954731441
wo,ORG,1190,48853,0.024358790657687347,0.9756412093423127
wo,PER,2745,105811,0.02594248235060627,0.9740575176493937
xh,LOC,191,727,0.2627235213204952,0.7372764786795047
xh,ORG,161,1090,0.14770642201834863,0.8522935779816514
xh,PER,305,25306,0.012052477673279065,0.9879475223267209
yo,LOC,1338,2557,0.523269456394212,0.47673054360578804
yo,ORG,694,2019,0.34373452204061417,0.6562654779593858
yo,PER,1692,34969,0.04838571306013898,0.951614286939861
zu,LOC,2580,81216,0.031767139479905435,0.9682328605200946
zu,ORG,1167,49261,0.023690140273238465,0.9763098597267615
zu,PER,2768,107106,0.025843556850223142,0.9741564431497769
